Russian	Pronouncing	Farsi
бежать	davidan	نﺪﯾود
бояться	tarsidan	نﺪﯿﺳﺮﺗ
брать	bardāštan	ﻦﺘﺷادﺮﺑ
быть	budan	ندﻮﺑ
видеть	didan	نﺪﯾد
владеть	sāheb budan	ندﻮﺑ ﺐﺣﺎﺻ
возражать	moxalefat kardan	ندﺮﮐ ﺖﻔﻟﺎﺨﻣ
входить (в комнату и т.п.)	vāred šodan	نﺪﺷ دراو
выбирать	entexāb kardan	ندﺮﮐ بﺎﺨﺘﻧا
выходить (из дома)	birun raftan	ﻦﺘﻓر نوﺮﯿﺑ
говорить (разговаривать)	harf zadan	ندز فﺮﺣ
готовить (обед)	poxtan	ﻦﺘﺨﭘ
давать	dādan	نداد
делать	anjām dādan	نداد مﺎﺠﻧا
доверять	etminān kardan	ندﺮﮐ نﺎﻨﯿﻤﻃا
думать	fekr kardan	ندﺮﮐ ﺮﮑﻓ
жаловаться	šekāyat kardan	ندﺮﮐ ﺖﯾﺎﮑﺷ
ждать	montazer budan	ندﻮﺑ ﺮﻈﺘﻨﻣ
забывать	farāmuš kardan	ندﺮﮐ شﻮﻣاﺮﻓ
завтракать	sobhāne xordan	ندرﻮﺧ ﻪﻧﺎﺤﺒﺻ
заказывать	sefāreš dādan	نداد شرﺎﻔﺳ
заканчивать	be pāyān resāndan	نﺪﻧﺎﺳر نﺎﯾﺎﭘ ﻪﺑ
замечать (увидеть)	motevajjeh šodan	نﺪﺷ ﻪﺟﻮﺘﻣ
записывать	neveštan	ﻦﺘﺷﻮﻧ
защищать (страну)	defāʾ kardan	ندﺮﮐ عﺎﻓد
звать (на помощь и т.п.)	komak xāstan	ﻦﺘﺳاﻮﺧ ﮏﻤﮐ
знать (кого-л.)	šenāxtan	ﻦﺘﺧﺎﻨﺷ
знать (что-л.)	dānestan	ﻦﺘﺴﻧاد
играть	bāzi kardan	ندﺮﮐ یزﺎﺑ
идти	raftan	ﻦﺘﻓر
извинять	baxšidan	نﺪﯿﺸﺨﺑ
извиняться	ozr xāstan	ﻦﺘﺳاﻮﺧ رﺬﻋ
изменить (поменять)	avaz kardan	ندﺮﮐ ضﻮﻋ
изучать	dars xāndan	نﺪﻧاﻮﺧ سرد
иметь	dāštan	ﻦﺘﺷاد
интересоваться	alāqe dāštan	ﻦﺘﺷاد ﻪﻗﻼﻋ
информировать	āgah kardan	ندﺮﮐ هﺎﮔآ
искать …	jostoju kardan	ندﺮﮐ ﻮﺠﺘﺴﺟ
