Russian	Pronouncing	Farsi
падать	oftādan	ندﺎﺘﻓا
переводить (текст)	tarjome kardan	ندﺮﮐ ﻪﻤﺟﺮﺗ
писать	neveštan	ﻦﺘﺷﻮﻧ
плавать	šenā kardan	ندﺮﮐ ﺎﻨﺷ
плакать	gerye kardan	ندﺮﮐ ﻪﯾﺮﮔ
планировать	barnāmerizi kardan	ندﺮﮐ یﺰﯾر ﻪﻣﺎﻧﺮﺑ
платить	pardāxtan	ﻦﺘﺧادﺮﭘ
поворачивать	pičidan	نﺪﯿﭽﯿﭘ
повторять	tekrār kardan	ندﺮﮐ راﺮﮑﺗ
подписывать	emzā kardan	ندﺮﮐ ﺎﻀﻣا
подсказать (отгадку)	sarnax dādan	نداد ﺦﻧﺮﺳ
показывать	nešān dādan	نداد نﺎﺸﻧ
помогать	komak kardan	ندﺮﮐ ﮏﻤﮐ
понимать	fahmidan	نﺪﯿﻤﻬﻓ
предвидеть (ожидать)	pišbini kardan	ندﺮﮐ ﯽﻨﯿﺑ ﺶﯿﭘ
предлагать	pišnahād dādan	نداد دﺎﻬﻨﺸﯿﭘ
предпочитать	tarjih dādan	نداد ﺢﯿﺟﺮﺗ
предупреждать	hošdār dādan	نداد راﺪﺸﻫ
прекращать	bas kardan	ندﺮﮐ ﺲﺑ
приглашать	daʿvat kardan	ندﺮﮐ تﻮﻋد
приезжать	residan	نﺪﯿﺳر
приказывать	farmān dādan	نداد نﺎﻣﺮﻓ
принадлежать	taʿalloq dāštan	ﻦﺘﺷاد ﻖﻠﻌﺗ
пробовать (пытаться)	talāš kardan	ندﺮﮐ شﻼﺗ
продавать	foruxtan	ﻦﺘﺧوﺮﻓ
продолжать	edāme dādan	نداد ﻪﻣادا
произносить (слово)	talaffoz kardan	ندﺮﮐ ﻆﻔﻠﺗ
пропускать (занятия и т.п.)	qāyeb budan	ندﻮﺑ ﺐﯾﺎﻏ
просить	xāstan	ﻦﺘﺳاﻮﺧ
прощать	baxšidan	نﺪﯿﺸﺨﺑ
прятать	penhān kardan	ندﺮﮐ نﺎﻬﻨﭘ
путать (ошибаться)	qāti kardan	ندﺮﮐ ﯽﻃﺎﻗ
работать	kār kardan	ندﺮﮐ رﺎﮐ
разрешать	ejāze dādan	نداد هزﺎﺟا
рассчитывать на …	hesāb kardan	ندﺮﮐ بﺎﺴﺣ
резервировать	rezerv kardan	ندﺮﮐ ورزر
рекомендовать	towsie kardan	ندﺮﮐ ﻪﯿﺻﻮﺗ
ронять	andāxtan	ﻦﺘﺧاﺪﻧا
ругать	daʿvā kardan	ندﺮﮐ اﻮﻋد
руководить (чем-л.)	edāre kardan	ندﺮﮐ هرادا
рыть	kandan	نﺪﻨﮐ
