Russian	Pronouncing	Farsi
контролировать	kontorol kardan	ﮐﻨﺘﺮل ﮐﺮدن
красть	dozdidan	دزدﯾﺪن
кричать	faryād zadan	ﻓﺮﯾﺎد زدن
купаться (в море и т.п.)	ābtani kardan	آﺑﺘﻨﯽ ﮐﺮدن
лететь	parvāz kardan	ﭘﺮواز ﮐﺮدن
ловить	gereftan	ﮔﺮﻓﺘﻦ
ломать	šekastan	ﺷﮑﺴﺘﻦ
любить (кого-л.)	dust dāštan	دوﺳﺖ داﺷﺘﻦ
молиться	doʿā kardan	دﻋﺎ ﮐﺮدن
молчать	sāket māndan	ﺳﺎﮐﺖ ﻣﺎﻧﺪن
мочь	tavānestan	ﺗﻮاﻧﺴﺘﻦ
наблюдать	mošāhede kardan	ﻣﺸﺎﻫﺪه ﮐﺮدن
надеяться	omid dāštan	اﻣﯿﺪ داﺷﺘﻦ
наказывать	tanbih kardan	ﺗﻨﺒﯿﻪ ﮐﺮدن
настаивать (упорствовать)	esrār kardan	اﺻﺮار ﮐﺮدن
находить	peydā kardan	ﭘﯿﺪا ﮐﺮدن
начинать	šoruʾ kardan	ﺷﺮوع ﮐﺮدن
недооценивать	dast-e kam gereftan	دﺳﺖ ﮐﻢ ﮔﺮﻓﺘﻦ
нравиться	dust dāštan	دوﺳﺖ داﺷﺘﻦ
обедать	nāhār xordan	ﻧﺎﻫﺎر ﺧﻮردن
обещать	qowl dādan	ﻗﻮل دادن
обманывать	farib dādan	ﻓﺮﯾﺐ دادن
обсуждать	bahs kardan	ﺑﺤﺚ ﮐﺮدن
объединять	mottahed kardan	ﻣﺘﺤﺪ ﮐﺮدن
объяснять	touzih dādan	ﺗﻮﺿﯿﺢ دادن
означать	maʿni dāštan	ﻣﻌﻨﯽ داﺷﺘﻦ
освобождать (город)	āzād kardan	آزاد ﮐﺮدن
оскорблять	towhin kardan	ﺗﻮﻫﯿﻦ ﮐﺮدن
останавливаться	motevaghef šhodan	ﻣﺘﻮﻗﻒ ﺷﺪن
отвечать	javāb dādan	ﺟﻮاب دادن
отгадать	hads zadan	ﺣﺪس زدن
отказываться	rad kardan	رد ﮐﺮدن
открывать (дверь и т.п.)	bāz kardan	ﺑﺎز ﮐﺮدن
отправлять	ferestādan	ﻓﺮﺳﺘﺎدن
охотиться	šekār kardan	ﺷﮑﺎر ﮐﺮدن
ошибаться	eštebāh kardan	اﺷﺘﺒﺎه ﮐﺮدن
