Russian	Pronouncing	Farsi
больница	bimārestān	نﺎﺘﺳرﺎﻤﯿﺑ
пациент	bimār	رﺎﻤﯿﺑ
диагноз	tašxis	ﺺﯿﺨﺸﺗ
лечение	moʿāleje	ﻪﺠﻟﺎﻌﻣ
лечение (больных)	darmān	نﺎﻣرد
лечиться	darmān šodan	نﺪﺷ نﺎﻣرد
лечить (ухаживать)	moʾāleje kardan	ندﺮﮐ ﻪﺠﻟﺎﻌﻣ
ухаживать (за больным)	parastāri kardan	ندﺮﮐ یرﺎﺘﺳﺮﭘ
уход (за больным)	parastāri	یرﺎﺘﺳﺮﭘ
операция (мед.)	amal-e jarrāhi	ﯽﺣاﺮﺟ ﻞﻤﻋ
перевязать	pānsemān kardan	ندﺮﮐ نﺎﻤﺴﻧﺎﭘ
перевязка	pānsemān	نﺎﻤﺴﻧﺎﭘ
прививка	vāksināsyon	نﻮﯿﺳﺎﻨﯿﺴﮐاو
делать прививку	vāksine kardan	ندﺮﮐ ﻪﻨﯿﺴﮐاو
укол (мед.)	tazriq	ﻖﯾرﺰﺗ
делать укол (кому-л.)	tazriq kardan	ندﺮﮐ ﻖﯾرﺰﺗ
приступ, припадок	hamle	ﻪﻠﻤﺣ
ампутация	qatʿ-e ozv	ﻮﻀﻋ ﻊﻄﻗ
ампутировать	qatʿ kardan	ندﺮﮐ ﻊﻄﻗ
кома	komā	ﺎﻤﮐ
быть в коме	dar komā budan	ندﻮﺑ ﺎﻤﮐ رد
реанимация	morāqebat-e viže	هﮋﯾو ﺖﺒﻗاﺮﻣ
выздоравливать	behbud yāftan	ﻦﺘﻓﺎﯾ دﻮﺒﻬﺑ
состояние (больного)	hālat	ﺖﻟﺎﺣ
сознание (мед.)	huš	شﻮﻫ
память	hāfeze	ﻪﻈﻓﺎﺣ
удалять (зуб)	dandān kešidan	نﺪﯿﺸﮐ ناﺪﻧد
пломба (на зубах)	por kardan	ندﺮﮐ ﺮﭘ
пломбировать (зубы)	por kardan	ندﺮﮐ ﺮﭘ
гипноз	hipnotizm	مﺰﯿﺗﻮﻨﭙﯿﻫ
гипнотизировать	hipnotizm kardan	ندﺮﮐ مﺰﯿﺗﻮﻨﭙﯿﻫ
