Russian	Pronouncing	Farsi
Где?	kojā?	؟ﺎﺠﮐ
здесь	in jā	ﺎﺟ ﻦﯾا
там	ānjā	ﺎﺠﻧآ
где-то	jā-yi	ﯽﯾﺎﺟ
нигде	hič kojā	ﺎﺠﮐ ﭻﯿﻫ
у … (около)	nazdik	ﮏﯾدﺰﻧ
у окна	nazdik panjere	هﺮﺠﻨﭘ ﮏﯾدﺰﻧ
Куда?	kojā?	؟ﺎﺠﮐ
сюда	in jā	ﺎﺟ ﻦﯾا
туда	ānjā	ﺎﺠﻧآ
отсюда	az injā	ﺎﺠﻨﯾا زا
оттуда	az ānjā	ﺎﺠﻧآ زا
близко	nazdik	ﮏﯾدﺰﻧ
далеко	dur	رود
около (рядом)	nazdik	ﮏﯾدﺰﻧ
рядом (недалеко)	nazdik	ﮏﯾدﺰﻧ
недалеко (ехать, идти)	nazdik	ﮏﯾدﺰﻧ
левый	čap	ﭗﭼ
слева	dast-e čap	ﭗﭼ ﺖﺳد
налево	be čap	ﭗﭼ ﻪﺑ
правый	rāst	ﺖﺳار
справа	dast-e rāst	ﺖﺳار ﺖﺳد
направо	be rāst	ﺖﺳار ﻪﺑ
спереди	jelo	ﻮﻠﺟ
передний	jelo	ﻮﻠﺟ
вперёд (движение)	jelo	ﻮﻠﺟ
сзади (находиться)	aqab	ﺐﻘﻋ
сзади (подойти)	az aqab	ﺐﻘﻋ زا
назад (движение)	aqab	ﺐﻘﻋ
середина	vasat	ﻂﺳو
посередине	dar vasat	ﻂﺳو رد
сбоку (со стороны)	pahlu	ﻮﻠﻬﭘ
везде	hame jā	ﺎﺟ ﻪﻤﻫ
вокруг	atrāf	فاﺮﻃا
изнутри	az daxel	ﻞﺧاد زا
куда-то	jā-yi	ﯽﯾﺎﺟ
напрямик	mostaqim	ﻢﯿﻘﺘﺴﻣ
обратно	aqab	ﺐﻘﻋ
откуда-нибудь	az har jā	ﺎﺟ ﺮﻫ زا
откуда-то	az yek jā-yi	ﯽﯾﺎﺟ ﮏﯾ زا
во-первых	avvalan	ًﻻوا
во-вторых	dumā	ﺎﻣود
в-третьих	sālesan	ًﺎﺜﻟﺎﺛ
вдруг	nāgahān	نﺎﻬﮔﺎﻧ
вначале	dar avval	لوا رد
впервые	barā-ye avvalin bār	رﺎﺑ ﻦﯿﻟوا یاﺮﺑ
задолго до …	xeyli vaqt piš	ﺶﯿﭘ ﺖﻗو ﯽﻠﯿﺧ
заново	az now	ﻮﻧ زا
насовсем	barā-ye hamiše	ﻪﺸﯿﻤﻫ یاﺮﺑ
никогда	hič vaqt	ﺖﻗو ﭻﯿﻫ
опять	dobāre	هرﺎﺑود
теперь	alān	نﻻا
часто	aqlab	ﺐﻠﻏا
тогда	ān vaqt	ﺖﻗو نآ
срочно	foran	ًارﻮﻓ
обычно	maʿmulan	ًﻻﻮﻤﻌﻣ
кстати, …	rāst-i	ﯽﺘﺳار
возможно	momken ast	ﺖﺳا ﻦﮑﻤﻣ
вероятно	ehtemālan	ًﻻﺎﻤﺘﺣا
может быть	šāyad	ﺪﯾﺎﺷ
кроме того, …	bealāve	هوﻼﻌﺑ
поэтому …	be hamin xāter	ﺮﻃﺎﺧ ﻦﯿﻤﻫ ﻪﺑ
несмотря на …	alāraqm	ﻢﻏﺮﯿﻠﻋ
благодаря …	be lotf	ﻒﻄﻟ ﻪﺑ
что (местоимение)	če?	؟ﻪﭼ
что (союз)	ke	ﻪﮐ
что-то	yek čiz-i	یﺰﯿﭼ ﮏﯾ
что-нибудь	yek kāri	یرﺎﮐ ﮏﯾ
ничего	hič čiz	ﺰﯿﭼ ﭻﯿﻫ
кто	ki	ﯽﮐ
кто-то	yek kas-i	ﯽﺴﮐ ﮏﯾ
кто-нибудь	yek kas-i	ﯽﺴﮐ ﮏﯾ
никто	hič kas	ﺲﮐ ﭻﯿﻫ
никуда	hič kojā	ﺎﺠﮐ ﭻﯿﻫ
ничей	māl-e hičkas	ﺲﮐ ﭻﯿﻫ لﺎﻣ
чей-нибудь	har kas-i	ﯽﺴﮐ ﺮﻫ
так	xeyli	ﯽﻠﯿﺧ
также	ham	ﻢﻫ
тоже	ham	ﻢﻫ
