Russian	Pronouncing	Farsi
симптом	alāem-e bimāri	ﻋﻼﺋﻢ ﺑﯿﻤﺎری
температура	damā	دﻣﺎ
высокая температура	tab	ﺗﺐ
пульс	nabz	ﻧﺒﺾ
головокружение	sargije	ﺳﺮﮔﯿﺠﻪ
горячий (напр. лоб)	dāq	داغ
озноб	raʿše	رﻋﺸﻪ
бледный	rang paride	رﻧﮓ ﭘﺮﯾﺪه
кашель	sorfe	ﺳﺮﻓﻪ
кашлять	sorfe kardan	ﺳﺮﻓﻪ ﮐﺮدن
чихать	atse kardan	ﻋﻄﺴﻪ ﮐﺮدن
обморок	qaš	ﻏﺶ
упасть в обморок	qaš kardan	ﻏﺶ ﮐﺮدن
синяк	kabudi	ﮐﺒﻮدی
шишка	barāmadegi	ﺑﺮآﻣﺪﮔﯽ
удариться	barxord kardan	ﺑﺮﺧﻮرد ﮐﺮدن
ушиб	kuftegi	ﮐﻮﻓﺘﮕﯽ
ушибиться	zarb didan	ﺿﺮب دﯾﺪن
хромать	langidan	ﻟﻨﮕﯿﺪن
вывих	dar raftegi	دررﻓﺘﮕﯽ
вывихнуть	dar raftan	دررﻓﺘﻦ
перелом	šekastegi	ﺷﮑﺴﺘﮕﯽ
получить перелом	dočār-e šekastegi šodan	دﭼﺎر ﺷﮑﺴﺘﮕﯽ ﺷﺪن
порез	boridegi	ﺑﺮﯾﺪﮔﯽ
порезаться	boridan	ﺑﺮﯾﺪن
кровотечение	xunrizi	ﺧﻮﻧﺮﯾﺰی
ожог	suxtegi	ﺳﻮﺧﺘﮕﯽ
обжечься	dočār-e suxtegi šodan	دﭼﺎر ﺳﻮﺧﺘﮕﯽ ﺷﺪن
уколоть (поранить)	surāx kardan	ﺳﻮراخ ﮐﺮدن
уколоться	surāx kardan	ﺳﻮراخ ﮐﺮدن
повредить (поранить)	āsib resāndan	آﺳﯿﺐ رﺳﺎﻧﺪن
повреждение (рана)	zaxm	زﺧﻢ
рана	zaxm	زﺧﻢ
травма	zarbe	ﺿﺮﺑﻪ
бредить (мед.)	hazyān goftan	ﻫﺬﯾﺎن ﮔﻔﺘﻦ
заикаться	loknat dāštan	ﻟﮑﻨﺖ داﺷﺘﻦ
солнечный удар	āftāb-zadegi	آﻓﺘﺎﺑﺰدﮔﯽ
